time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449400000	14.4315	5.53504	1.61226	-0.00796071	0	lidar	7656.47	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	14.4587	5.55014	1.48467	0.00230386	0	radar	1278.73	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	14.5226	5.64547	1.45595	0.0187401	0	lidar	7595.93	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	14.5513	5.66099	1.36313	0.026613	0	radar	1428.86	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	14.6077	5.75688	1.33509	0.0435093	0	lidar	7854.86	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	14.6333	5.77159	1.22593	0.0525863	0	radar	1252.97	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	14.6855	5.86655	1.1993	0.0694341	0	lidar	7870.44	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	14.7118	5.88213	1.10938	0.0773106	0	radar	1425.59	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	14.7556	5.9754	1.08398	0.0942105	0	lidar	7804.44	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	14.7808	5.99096	0.981709	0.103053	0	radar	1417.34	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	14.82	6.08579	0.956791	0.120455	0	lidar	8285.89	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	14.8411	6.09924	0.846258	0.129746	0	radar	1068.4	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	14.8759	6.19361	0.822393	0.147228	0	lidar	8421.24	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
